"Latest: Time (s)","Latest: Potential (cm)","Latest: Z Acceleration (m/s²)"
0,9.99364191251,-0.300066132234
0.01,9.84613428281,-0.358968002636
0.02,9.84613428281,-0.358968002636
0.03,9.84613428281,-0.388418937836
0.04,9.91988809766,-0.447320808238
0.05,9.91988809766,-0.462046275838
0.06,9.95676500509,-0.52094814624
0.07,9.84613428281,-0.565124549041
0.08,9.84613428281,-0.491497211039
0.09,9.88301119023,-0.491497211039
0.1,9.95676500509,-0.550399081441
0.11,9.99364191251,-0.506222678639
0.12,9.80925737538,-0.476771743439
0.13,9.91988809766,-0.417869873037
0.14,9.88301119023,-0.403144405437
0.15,9.91988809766,-0.300066132234
0.16,9.95676500509,-0.314791599835
0.17,10.0305188199,-0.300066132234
0.18,9.99364191251,-0.344242535035
0.19,9.99364191251,-0.314791599835
0.2,9.99364191251,-0.270615197033
0.21,9.99364191251,-0.314791599835
0.22,9.91988809766,-0.373693470236
0.23,9.99364191251,-0.358968002636
0.24,9.91988809766,-0.300066132234
0.25,9.95676500509,-0.358968002636
0.26,9.80925737538,-0.314791599835
0.27,9.99364191251,-0.403144405437
0.28,9.95676500509,-0.432595340638
0.29,9.95676500509,-0.358968002636
0.3,9.95676500509,-0.314791599835
0.31,9.95676500509,-0.13808598863
0.32,9.84613428281,0.126972428177
0.33,9.77238046796,0.347854442183
0.34,9.84613428281,0.804343937794
0.35,9.91988809766,1.48171544741
0.36,9.73550356053,2.46832177664
0.37,9.66174974568,3.63163371707
0.38,9.51424211597,4.7213183195
0.39,9.40361139369,6.17913961193
0.4,9.03484231943,7.53388263117
0.41,8.59231943032,8.8886256504
0.42,8.03916581892,10.6556817624
0.43,7.41225839268,18.3423758498
0.44,6.63784333672,14.7346362878
0.45,5.38402848423,13.8363827641
0.46,4.01958290946,11.4214060777
0.47,2.61826042726,1.37863717421
0.48,0.995676500509,4.04394680988
0.49,-0.516276703967,1.49644091501
0.5,-1.84384537131,-6.44058612159
0.51,-3.46642929807,-6.7498209412
0.52,-4.90462868769,-10.2397567625
0.53,-5.78967446592,-16.1446692702
0.54,-7.11724313327,-16.9398445207
0.55,-8.0022889115,-14.9960827974
0.56,-8.26042726348,-21.7256214908
0.57,-8.73982706002,-21.4752885416
0.58,-8.77670396745,-17.9853527203
0.59,-8.33418107833,-23.301246524
0.6,-7.92853509664,-19.3695466747
0.61,-7.19099694812,-14.8193771862
0.62,-6.08468972533,-16.0563164646
0.63,-4.90462868769,-12.2129694209
0.64,-3.76144455748,-6.95597748761
0.65,-2.21261444557,-6.35223331599
0.66,-0.553153611394,-4.70298094475
0.67,0.663784333672,3.45492810586
0.68,2.39699898271,3.73471199027
0.69,3.87207527976,7.50443169597
0.7,4.94150559512,14.1014411809
0.71,6.34282807731,13.7774808937
0.72,7.3016276704,14.7935381582
0.73,7.70727365209,21.5525277867
0.74,8.44481180061,18.2392975766
0.75,8.55544252289,19.9474518183
0.76,8.37105798576,22.5833105188
0.77,8.18667344863,17.488298729
0.78,7.52288911495,17.2968676502
0.79,6.45345879959,18.1362193034
0.8,5.56841302136,11.3330532721
0.81,4.27772126144,10.1697413316
0.82,2.83952187182,9.06533126161
0.83,1.51195320448,0.951598613798
0.84,-0.258138351984,0.185874298578
0.85,-1.65946083418,-1.96404397108
0.86,-2.83952187182,-8.36962237724
0.87,-4.42522889115,-10.6226189201
0.88,-5.78967446592,-10.5342661145
0.89,-6.49033570702,-17.9117253823
0.9,-7.41225839268,-17.9853527203
0.91,-8.18667344863,-17.1460010671
0.92,-8.33418107833,-22.1084836484
0.93,-8.44481180061,-20.2088983279
0.94,-8.44481180061,-17.9264508499
0.95,-7.78102746694,-19.5462522859
0.96,-7.11724313327,-17.9706272527
0.97,-6.30595116989,-13.1848502826
0.98,-5.0521363174,-13.0375956066
0.99,-3.83519837233,-10.9024028045
1,-2.47075279756,-3.84890382393
1.01,-1.03255340793,-4.34956972234
