"Latest: Time (s)","Latest: Potential (cm)","Latest: Z Acceleration (m/s²)"
0,9.9942888758,-0.28779247205
0.01,9.95741196837,-0.228890601648
0.02,10.0680426907,-0.258341536849
0.03,9.9942888758,-0.28779247205
0.04,9.95741196837,-0.243616069248
0.05,10.0680426907,-0.405596212853
0.06,9.88365815352,-0.361419810051
0.07,9.9942888758,-0.243616069248
0.08,9.92053506095,-0.273067004449
0.09,9.9942888758,-0.0669104580439
0.1,10.0680426907,-0.199439666447
0.11,10.0680426907,-0.125812328445
0.12,9.95741196837,-0.140537796046
0.13,10.0311657832,-0.331968874851
0.14,9.88365815352,-0.449772615654
0.15,9.88365815352,-0.552850888856
0.16,10.0680426907,-0.464498083254
0.17,10.0680426907,-0.155263263646
0.18,10.0311657832,-0.111086860845
0.19,9.9942888758,-0.214165134048
0.2,10.0311657832,-0.31724340725
0.21,10.1049195981,-0.0816359256443
0.22,10.0311657832,-0.00800858764236
0.23,9.92053506095,-0.0669104580439
0.24,9.9942888758,-0.28779247205
0.25,10.1417965055,-0.273067004449
0.26,10.0311657832,-0.30251793965
0.27,9.92053506095,-0.228890601648
0.28,10.0311657832,-0.228890601648
0.29,9.9942888758,-0.243616069248
0.3,9.95741196837,-0.199439666447
0.31,10.0311657832,-0.331968874851
0.32,10.1049195981,-0.479223550855
0.33,9.9942888758,-0.390870745252
0.34,9.95741196837,-0.361419810051
0.35,10.0311657832,-0.0816359256443
0.36,10.1049195981,0.0656187503595
0.37,10.1049195981,-0.125812328445
0.38,10.1049195981,-0.30251793965
0.39,10.0680426907,-0.346694342451
0.4,10.0311657832,-0.243616069248
0.41,9.9942888758,-0.0521849904435
0.42,10.0680426907,-0.155263263646
0.43,10.0680426907,-0.273067004449
0.44,10.0311657832,-0.30251793965
0.45,9.9942888758,-0.273067004449
0.46,10.0311657832,-0.184714198847
0.47,10.0680426907,-0.258341536849
0.48,10.1417965055,-0.376145277652
0.49,9.95741196837,-0.31724340725
0.5,10.0680426907,-0.199439666447
0.51,10.1049195981,0.0214423475584
0.52,10.0311657832,0.0508932827591
0.53,10.0311657832,0.286500764365
0.54,10.1417965055,0.669362921975
0.55,10.0311657832,1.47926364
0.56,9.9942888758,2.28916435802
0.57,9.80990433867,3.43775083085
0.58,9.73615052382,4.98392492889
0.59,9.55176598669,7.36945068015
0.6,9.40425835698,10.6090535522
0.61,8.92485856044,13.7897545539
0.62,8.29795113419,17.5005723892
0.63,7.48665917082,31.2394336604
0.64,6.49098267031,42.4749654395
0.65,4.53650657672,27.6464195659
0.66,1.73386161232,24.1859346798
0.67,-0.294368296122,-9.60901346309
0.68,-3.02325944566,-21.2421328674
0.69,-5.53088915065,-25.6597731475
0.7,-6.52656565116,-55.3463158299
0.71,-8.11227267049,-52.2245166986
0.72,-8.4072879299,-50.8255972766
0.73,-7.48536524424,-61.97277625
0.74,-6.78470400314,-41.3276706743
0.75,-4.83022790955,-30.0479624924
0.76,-2.21196748229,-27.4121037919
0.77,-0.183737573843,7.00131399014
0.78,2.50827666827,14.2462440495
0.79,4.83152183613,23.110975545
0.8,6.01158287377,47.172389604
0.81,7.70792061537,47.2754678772
0.82,7.96605896736,47.2312914744
0.83,7.48665917082,47.2901933448
0.84,6.85975174457,38.8377749422
0.85,4.7946449287,34.5084874676
0.86,2.5451535757,27.2635574083
0.87,0.701308204387,-6.91425289222
0.88,-2.21196748229,-10.8901291443
0.89,-4.2033204833,-21.1537800618
0.9,-5.64151987293,-50.4869115217
0.91,-7.33785761453,-44.1844113888
0.92,-7.81725741108,-50.8697736794
0.93,-7.22722689226,-61.8107961064
0.94,-7.04284235512,-38.868517585
0.95,-4.97773553926,-35.9528750002
0.96,-2.98638253824,-30.1804917008
0.97,-1.21629098178,2.55422277482
0.98,1.58635398262,4.92502305848
0.99,3.76209152077,17.7509053384
1,5.16341400296,46.7600765112
1.01,6.97038246685,39.6771265954
1.02,7.33915154111,46.8484293168
1.03,7.0441362817,47.2312914744
1.04,6.82287483714,37.1148952329
1.05,5.08966018811,39.691852063
1.06,3.2458148168,30.7240422944
1.07,1.51260016776,-0.773732902862
1.08,-1.17941407435,0.286500764365
1.09,-3.13389016794,-16.6477869761
1.1,-4.60896646499,-42.3879043415
1.11,-6.56344255858,-36.4977173014
1.12,-7.07971926255,-47.6301708073
1.13,-6.96908854027,-56.7452352519
1.14,-6.78470400314,-36.8953049266
1.15,-5.27275079867,-39.3102816131
1.16,-3.50265924221,-31.3438036413
1.17,-1.9538291303,-3.45376800613
1.18,0.664431296961,-0.788458370463
1.19,2.50827666827,12.7736972895
1.2,4.13086059503,38.9703041506
1.21,6.12221359605,33.5071556708
1.22,6.67536720744,45.6998428439
1.23,6.78599792972,47.2754678772
1.24,6.78599792972,37.2768753765
1.25,5.27404472524,41.7386920594
1.26,3.72521461334,32.2554909248
1.27,2.28701522372,6.27976607772
1.28,-0.146860666417,5.98525672571
1.29,-1.99070603773,-12.303774034
1.3,-3.68704377934,-32.4040373085
1.31,-5.53088915065,-30.2541190388
1.32,-6.3053042066,-43.845725634
1.33,-6.67407328086,-51.0906556934
1.34,-6.71095018829,-37.911362191
1.35,-5.4571353358,-41.8577875079
1.36,-4.09268976103,-32.2715081001
1.37,-2.54385964912,-10.2569340375
1.38,-0.257491388696,-7.54744799904
1.39,1.66010779747,7.59033269415
1.4,3.2458148168,28.0292817235
1.41,5.05278328068,28.2648892051
1.42,5.82719833664,41.7386920594
1.43,6.3434750406,47.246016942
1.44,6.38035194803,38.0278742241
1.45,5.45842926237,42.1510051522
1.46,4.31524513216,32.6383530824
1.47,2.80329192768,13.5835980075
1.48,0.701308204387,10.4176224734
1.49,-1.06878335207,-7.45909519343
1.5,-2.80199800111,-22.6999541598
1.51,-4.7564740947,-25.3947147307
1.52,-5.49401224322,-40.5472208915
1.53,-6.12091966947,-45.1415667828
1.54,-6.34218111403,-38.3236752838
1.55,-5.49401224322,-42.3437279387
1.56,-4.60896646499,-32.1095279565
1.57,-3.17076707537,-16.7950416521
1.58,-1.17941407435,-13.1725766224
1.59,0.516923667256,4.15929874327
1.6,2.32389213114,18.3399240424
1.61,4.05710678018,23.405484897
1.62,5.05278328068,37.4535809877
1.63,5.93782905891,42.0184759438
1.64,6.15909050347,38.9261277478
1.65,5.53218307723,42.8283766619
1.66,4.72089111385,32.1965890544
1.67,3.2458148168,20.7254497937
1.68,1.36509253806,15.1886739759
1.69,-0.146860666417,-2.68804369091
1.7,-2.06445985258,-14.0855556136
1.71,-3.68704377934,-20.1082718622
1.72,-4.7564740947,-35.7172675186
1.73,-5.75215059521,-38.6770865062
1.74,-6.01028894719,-37.248716149
1.75,-5.53088915065,-42.2406496655
1.76,-4.86710481698,-31.9475478129
1.77,-3.53953614963,-22.0373081178
1.78,-1.8063215006,-17.5018640969
1.79,-0.294368296122,0.47793184317
1.8,1.47572326034,9.68134909341
1.81,3.20893790937,17.1618866344
1.82,4.27836822473,33.5071556708
1.83,5.27404472524,35.4509173941
1.84,5.75344452178,36.8792877513
1.85,5.45842926237,42.8872785323
1.86,4.90527565098,31.6075703504
1.87,3.61458389106,25.5259522314
1.88,2.13950759401,19.5474123857
1.89,0.664431296961,0.904970403581
1.9,-1.17941407435,-6.66391994301
1.91,-2.76512109368,-14.6009469796
1.92,-3.94518213132,-31.019843354
1.93,-5.08836626153,-33.4642709757
1.94,-5.53088915065,-35.408032699
1.95,-5.34650461352,-41.5780036235
1.96,-4.9039817244,-31.6824893961
1.97,-3.76079759419,-25.8070278235
1.98,-2.39635201942,-21.4188384786
1.99,-1.06878335207,-4.02806124255
2,0.738185111813,3.95314219686
2.01,2.43452285342,11.5220325435
2.02,3.50395316878,28.7802805711
2.03,4.83152183613,30.5915130859
2.04,5.27404472524,34.3170563888
2.05,5.20029091039,42.2982598282
2.06,5.01590637326,31.9315306376
2.07,3.90959915047,28.2059873347
2.08,2.58203048313,23.8325234574
2.09,1.40196944549,5.82327658211
2.1,-0.331245203548,-0.817909305663
2.11,-1.88007531545,-9.8446209447
2.12,-3.17076707537,-25.1738327167
2.13,-4.42458192786,-28.074749834
2.14,-5.08836626153,-32.0506260861
2.15,-5.12524316896,-39.2219288075
2.16,-5.01461244668,-31.8150186045
2.17,-4.16644357588,-28.4576119916
2.18,-2.83887490853,-24.3933829339
2.19,-1.69569077832,-8.35734871706
2.2,-0.0362299441381,-1.03879131967
2.21,1.58635398262,5.82327658211
2.22,2.72953811283,22.4336040353
2.23,4.0939836876,26.2180492086
2.24,4.68401420642,30.5031602803
2.25,4.83152183613,38.955578683
2.26,4.86839874355,31.695923156
2.27,4.13086059503,29.2367700667
2.28,3.17206100195,26.2622256114
2.29,1.91824614945,10.4470734086
2.3,0.369416037551,3.40829989565
2.31,-1.21629098178,-5.26500052098
2.32,-2.54385964912,-19.2394692737
2.33,-3.83455140904,-23.7012859567
2.34,-4.57208955757,-29.768178608
2.35,-4.9039817244,-36.9394813294
2.36,-4.9039817244,-31.9033714101
2.37,-4.31395120558,-29.8270804784
2.38,-3.3551516125,-25.9837334347
2.39,-2.35947511199,-12.9075182056
2.4,-0.626260462958,-6.31050872061
2.41,0.738185111813,1.6706947188
2.42,1.95512305688,15.924947356
2.43,3.46707626136,21.9034872017
2.44,4.20461440988,27.3666356815
2.45,4.68401420642,34.9208005605
2.46,4.68401420642,32.1082362488
2.47,4.31524513216,30.6356894887
2.48,3.54083007621,27.4255375519
2.49,2.43452285342,15.3506541196
2.5,1.10695418608,8.17935139817
2.51,-0.478752833253,-0.493949018455
2.52,-1.65881387089,-13.3934586364
2.53,-3.09701326052,-18.8124307133
2.54,-3.98205903875,-26.4549483979
2.55,-4.35082811301,-32.5807429197
2.56,-4.64584337242,-30.2982954416
2.57,-4.35082811301,-30.4160991824
2.58,-3.68704377934,-26.8967124259
2.59,-2.58073655655,-16.6625124437
2.6,-1.32692170406,-10.6103452599
2.61,0.000646963288187,-1.12714412527
2.62,1.36509253806,10.0936621862
2.63,2.5451535757,16.6023188656
2.64,3.50395316878,24.730776981
2.65,4.16773750245,30.6798658915
2.66,4.647137299,30.7093168268
2.67,4.27836822473,31.1216299196
2.68,3.83584533562,27.4108120843
2.69,2.84016883511,19.0761974225
2.7,1.54947707519,12.6558935487
2.71,0.295662222698,2.56894824242
2.72,-1.1056602595,-8.29844684666
2.73,-2.35947511199,-13.8646735996
2.74,-3.3551516125,-22.8913852386
2.75,-4.0558128536,-29.031905228
2.76,-4.35082811301,-28.9877288252
2.77,-4.31395120558,-30.7400594696
2.78,-3.94518213132,-27.4415547272
2.79,-3.06013635309,-19.5045276905
2.8,-1.84319840802,-14.4978687064
2.81,-0.589383555532,-4.98521663657
2.82,0.590677482108,4.92502305848
2.83,1.91824614945,11.2275231914
2.84,2.95079955739,21.3291939653
2.85,3.72521461334,26.645087769
2.86,4.24149131731,28.0587326587
2.87,4.27836822473,31.4308647392
2.88,3.90959915047,27.6611450335
2.89,3.09830718709,21.3733703681
2.9,2.06575377916,16.734848074
2.91,1.03320037122,6.07360953131
2.92,-0.404999018401,-2.92365117252
2.93,-1.8063215006,-9.32922957868
2.94,-2.80199800111,-18.9007835189
