"Latest: Time (s)","Latest: Potential (psia)"
0,47.8843388086
0.05,47.8843388086
0.1,48.0887139505
0.15,48.4974642343
0.2,48.4974642343
0.25,48.9062145182
0.3,48.4974642343
0.35,48.9062145182
0.4,48.4974642343
0.45,47.8843388086
0.5,47.6799636666
0.55,48.7018393763
0.6,47.8843388086
0.65,48.0887139505
0.7,48.2930890924
0.75,48.2930890924
0.8,48.7018393763
0.85,48.0887139505
0.9,47.8843388086
0.95,48.7018393763
1,48.0887139505
1.05,48.7018393763
1.1,48.2930890924
1.15,49.1105896601
1.2,48.9062145182
1.25,48.7018393763
1.3,47.8843388086
1.35,48.4974642343
1.4,47.8843388086
1.45,47.8843388086
1.5,46.8624630989
1.55,46.2493376732
1.6,45.8405873893
1.65,45.8405873893
1.7,44.2055862539
1.75,44.6143365377
1.8,43.79683597
1.85,42.9793354023
1.9,42.7749602604
1.95,41.5487094088
2,41.9574596927
2.05,41.3443342669
2.1,41.5487094088
2.15,40.5268336992
2.2,39.7093331315
2.25,39.3005828476
2.3,38.6874574218
2.35,38.0743319961
2.4,38.278707138
2.45,38.278707138
2.5,37.0524562864
2.55,36.4393308606
2.6,36.6437060026
2.65,37.0524562864
2.7,35.417455151
2.75,35.6218302929
2.8,35.2130800091
2.85,34.8043297252
2.9,34.3955794414
2.95,33.3737037317
3,34.1912042994
3.05,32.760578306
3.1,33.3737037317
3.15,32.556203164
3.2,32.9649534479
3.25,32.1474528802
3.3,32.1474528802
3.35,31.7387025963
3.4,30.5124517448
3.45,30.5124517448
3.5,30.3080766028
3.55,29.899326319
3.6,29.0818257513
3.65,29.694951177
3.7,28.4687003255
3.75,28.2643251836
3.8,27.8555748997
3.85,27.8555748997
3.9,27.038074332
3.95,27.4468246159
4,27.4468246159
4.05,26.8336991901
4.1,26.2205737643
4.15,26.6293240481
4.2,26.4249489062
4.25,25.6074483385
4.3,24.9943229127
4.35,24.5855726289
4.4,24.5855726289
4.45,23.9724472031
4.5,24.7899477708
4.55,23.3593217773
4.6,24.3811974869
4.65,24.176822345
4.7,22.9505714935
4.75,23.1549466354
4.8,22.7461963515
4.85,22.9505714935
4.9,21.7243206419
4.95,21.315570358
5,21.7243206419
5.05,21.5199455
5.1,21.1111952161
5.15,21.5199455
5.2,21.1111952161
5.25,20.0893195065
5.3,20.9068200742
5.35,20.0893195065
5.4,20.2936946484
5.45,19.6805692226
5.5,19.8849443645
5.55,19.6805692226
5.6,19.0674437968
5.65,19.2718189388
5.7,18.2499432291
5.75,18.4543183711
5.8,18.8630686549
5.85,17.4324426614
5.9,17.2280675195
5.95,16.8193172356
6,17.4324426614
6.05,17.0236923776
6.1,17.4324426614
6.15,17.0236923776
6.2,16.2061918099
6.25,16.0018166679
6.3,16.4105669518
6.35,16.0018166679
6.4,16.4105669518
6.45,15.797441526
6.5,15.3886912421
6.55,15.1843161002
6.6,15.5930663841
6.65,14.9799409583
6.7,15.1843161002
6.75,14.5711906744
6.8,14.3668155325
6.85,14.7755658164
6.9,13.9580652487
6.95,13.7536901067
7,14.3668155325
7.05,13.3449398229
7.1,13.5493149648
7.15,12.7318143971
7.2,13.5493149648
7.25,12.5274392552
7.3,13.1405646809
7.35,13.1405646809
7.4,11.9143138294
7.45,12.3230641132
7.5,11.9143138294
7.55,11.5055635455
7.6,11.5055635455
7.65,11.3011884036
7.7,11.9143138294
7.75,11.9143138294
7.8,11.3011884036
7.85,11.0968132617
7.9,11.0968132617
7.95,11.5055635455
8,10.279312694
8.05,10.279312694
8.1,10.8924381197
8.15,10.4836878359
8.2,10.279312694
8.25,10.4836878359
8.3,9.46181212626
8.35,9.87056241011
8.4,9.25743698433
8.45,9.0530618424
8.5,9.87056241011
8.55,9.87056241011
8.6,9.46181212626
8.65,9.66618726819
8.7,9.25743698433
8.75,8.84868670048
8.8,9.25743698433
8.85,8.64431155855
8.9,7.82681099084
8.95,7.82681099084
9,8.64431155855
9.05,8.2355612747
9.1,7.62243584891
9.15,8.03118613277
9.2,7.82681099084
9.25,7.21368556506
9.3,8.2355612747
9.35,7.82681099084
9.4,7.41806070699
9.45,6.8049352812
9.5,7.62243584891
9.55,6.60056013928
9.6,6.60056013928
9.65,7.00931042313
9.7,6.8049352812
9.75,6.39618499735
9.8,6.8049352812
9.85,6.39618499735
9.9,6.8049352812
9.95,5.57868442964
10,6.19180985542
10.05,6.60056013928
10.1,5.78305957157
10.15,5.57868442964
10.2,5.9874347135
10.25,5.57868442964
10.3,5.9874347135
10.35,5.37430928771
10.4,5.37430928771
10.45,5.37430928771
10.5,5.37430928771
10.55,5.57868442964
10.6,5.16993414579
10.65,5.37430928771
10.7,5.16993414579
10.75,4.55680872001
10.8,4.96555900386
10.85,5.37430928771
10.9,4.55680872001
10.95,4.55680872001
11,4.76118386193
11.05,4.55680872001
11.1,4.96555900386
11.15,4.76118386193
11.2,4.55680872001
11.25,4.76118386193
11.3,3.53493301037
11.35,3.94368329422
11.4,3.94368329422
11.45,4.35243357808
11.5,4.35243357808
11.55,3.53493301037
11.6,3.7393081523
11.65,4.35243357808
11.7,4.14805843615
11.75,3.53493301037
11.8,3.53493301037
11.85,3.12618272652
11.9,3.33055786844
11.95,2.92180758459
12,2.92180758459
12.05,3.12618272652
12.1,3.7393081523
12.15,3.7393081523
12.2,2.92180758459
12.25,3.33055786844
12.3,3.53493301037
12.35,2.30868215881
12.4,3.33055786844
12.45,3.12618272652
12.5,2.51305730073
12.55,2.92180758459
12.6,2.30868215881
12.65,2.30868215881
12.7,2.10430701688
12.75,2.51305730073
12.8,2.30868215881
12.85,1.89993187495
12.9,2.30868215881
12.95,2.30868215881
13,2.30868215881
13.05,2.30868215881
13.1,2.10430701688
13.15,1.69555673303
13.2,2.10430701688
13.25,2.10430701688
13.3,1.89993187495
13.35,1.4911815911
13.4,1.89993187495
13.45,2.30868215881
13.5,1.28680644917
13.55,1.28680644917
13.6,1.89993187495
13.65,2.10430701688
13.7,2.10430701688
13.75,1.69555673303
13.8,2.10430701688
13.85,1.08243130724
13.9,1.4911815911
13.95,1.28680644917
14,1.08243130724
14.05,0.878056165317
14.1,1.08243130724
14.15,2.10430701688
14.2,1.28680644917
14.25,1.28680644917
14.3,1.89993187495
14.35,0.67368102339
14.4,1.28680644917
14.45,1.4911815911
