"Latest: Time (s)","Latest: Potential (psia)"
0,46.658087957
0.05,46.4537128151
0.1,47.0668382409
0.15,47.6799636666
0.2,46.2493376732
0.25,46.8624630989
0.3,47.0668382409
0.35,47.4755885247
0.4,46.4537128151
0.45,47.4755885247
0.5,47.0668382409
0.55,47.0668382409
0.6,47.4755885247
0.65,46.4537128151
0.7,47.4755885247
0.75,47.6799636666
0.8,46.2493376732
0.85,47.2712133828
0.9,46.2493376732
0.95,46.2493376732
1,47.2712133828
1.05,47.4755885247
1.1,47.4755885247
1.15,46.8624630989
1.2,47.4755885247
1.25,46.4537128151
1.3,46.2493376732
1.35,45.2274619635
1.4,45.4318371054
1.45,45.4318371054
1.5,44.8187116797
1.55,44.4099613958
1.6,43.5924608281
1.65,42.9793354023
1.7,42.9793354023
1.75,42.3662099765
1.8,41.7530845508
1.85,41.3443342669
1.9,40.935583983
1.95,40.935583983
2,40.3224585573
2.05,39.7093331315
2.1,39.5049579896
2.15,38.8918325638
2.2,39.3005828476
2.25,37.6655817122
2.3,37.2568314284
2.35,37.6655817122
2.4,37.2568314284
2.45,36.8480811445
2.5,37.0524562864
2.55,36.4393308606
2.6,36.4393308606
2.65,35.8262054349
2.7,35.2130800091
2.75,34.8043297252
2.8,34.8043297252
2.85,34.8043297252
2.9,33.1693285898
2.95,32.9649534479
3,33.1693285898
3.05,32.3518280221
3.1,33.1693285898
3.15,32.3518280221
3.2,31.5343274544
3.25,31.7387025963
3.3,31.3299523125
3.35,30.7168268867
3.4,30.9212020286
3.45,30.5124517448
3.5,29.899326319
3.55,30.7168268867
3.6,29.694951177
3.65,29.4905760351
3.7,29.4905760351
3.75,29.2862008932
3.8,28.4687003255
3.85,28.2643251836
3.9,27.6511997578
3.95,27.8555748997
4,27.2424494739
4.05,27.4468246159
4.1,27.2424494739
4.15,26.4249489062
4.2,26.6293240481
4.25,25.8118234804
4.3,26.2205737643
4.35,25.8118234804
4.4,24.9943229127
4.45,25.6074483385
4.5,25.6074483385
4.55,25.6074483385
4.6,24.9943229127
4.65,24.7899477708
4.7,24.176822345
4.75,23.9724472031
4.8,23.9724472031
4.85,23.7680720612
4.9,23.3593217773
4.95,23.1549466354
5,23.5636969192
5.05,23.5636969192
5.1,22.7461963515
5.15,23.1549466354
5.2,22.9505714935
5.25,21.9286957838
5.3,21.9286957838
5.35,21.7243206419
5.4,21.5199455
5.45,20.9068200742
5.5,21.7243206419
5.55,20.9068200742
5.6,20.9068200742
5.65,20.7024449323
5.7,21.1111952161
5.75,20.0893195065
5.8,19.8849443645
5.85,19.8849443645
5.9,20.2936946484
5.95,19.6805692226
6,19.4761940807
6.05,19.2718189388
6.1,19.6805692226
6.15,18.8630686549
6.2,18.658693513
6.25,18.4543183711
6.3,18.658693513
6.35,18.2499432291
6.4,18.4543183711
6.45,17.4324426614
6.5,18.4543183711
6.55,17.6368178033
6.6,17.0236923776
6.65,16.8193172356
6.7,18.0455680872
6.75,16.6149420937
6.8,17.0236923776
6.85,16.8193172356
6.9,16.4105669518
6.95,15.797441526
7,16.8193172356
7.05,16.4105669518
7.1,16.0018166679
7.15,16.4105669518
7.2,15.5930663841
7.25,16.0018166679
7.3,15.3886912421
7.35,14.9799409583
7.4,14.7755658164
7.45,15.1843161002
7.5,15.1843161002
7.55,14.7755658164
7.6,14.1624403906
7.65,14.1624403906
7.7,14.9799409583
7.75,14.3668155325
7.8,14.5711906744
7.85,14.3668155325
7.9,13.5493149648
7.95,13.3449398229
8,13.1405646809
8.05,13.9580652487
8.1,13.5493149648
8.15,13.9580652487
8.2,12.7318143971
8.25,12.5274392552
8.3,13.1405646809
8.35,12.3230641132
8.4,12.3230641132
8.45,12.5274392552
8.5,12.3230641132
8.55,12.7318143971
8.6,11.9143138294
8.65,11.7099386875
8.7,12.1186889713
8.75,12.1186889713
8.8,11.9143138294
8.85,11.7099386875
8.9,11.7099386875
8.95,11.0968132617
9,11.7099386875
9.05,12.1186889713
9.1,11.5055635455
9.15,11.3011884036
9.2,11.0968132617
9.25,10.8924381197
9.3,10.279312694
9.35,11.0968132617
9.4,10.8924381197
9.45,10.4836878359
9.5,10.6880629778
9.55,11.0968132617
9.6,10.074937552
9.65,9.87056241011
9.7,9.66618726819
9.75,9.46181212626
9.8,9.87056241011
9.85,10.074937552
9.9,9.87056241011
9.95,9.87056241011
10,9.87056241011
10.05,9.46181212626
10.1,8.84868670048
10.15,9.0530618424
10.2,8.84868670048
10.25,9.87056241011
10.3,8.84868670048
10.35,8.43993641662
10.4,8.64431155855
