"Latest: Time (s)","Latest: Temperature (°C)"
0,77.40486816
0.02,77.1898939157
0.04,77.1898939157
0.06,77.6198424042
0.08,76.9749196715
0.1,78.0497908927
0.12,77.6198424042
0.14,77.8348166484
0.16,78.0497908927
0.18,78.0497908927
0.2,77.8348166484
0.22,77.1898939157
0.24,77.40486816
0.26,77.40486816
0.28,77.8348166484
0.3,77.1898939157
0.32,77.6198424042
0.34,77.40486816
0.36,78.2647651369
0.38,77.40486816
0.4,78.0497908927
0.42,76.7599454273
0.44,77.40486816
0.46,76.9749196715
0.48,77.1898939157
0.5,76.9749196715
0.52,77.1898939157
0.54,77.40486816
0.56,77.6198424042
0.58,77.6198424042
0.6,76.9749196715
0.62,78.0497908927
0.64,77.1898939157
0.66,78.0497908927
0.68,77.8348166484
0.7,78.2647651369
0.72,77.1898939157
0.74,77.6198424042
0.76,77.40486816
0.78,78.0497908927
0.8,77.8348166484
0.82,77.8348166484
0.84,77.8348166484
0.86,77.40486816
0.88,76.9749196715
0.9,78.0497908927
0.92,77.40486816
0.94,77.40486816
0.96,77.8348166484
0.98,76.9749196715
1,77.6198424042
1.02,77.1898939157
1.04,78.0497908927
1.06,77.1898939157
1.08,77.8348166484
1.1,77.1898939157
1.12,77.6198424042
1.14,76.9749196715
1.16,77.6198424042
1.18,77.6198424042
1.2,77.8348166484
1.22,76.9749196715
1.24,76.9749196715
1.26,77.6198424042
1.28,77.8348166484
1.3,77.40486816
1.32,77.8348166484
1.34,78.0497908927
1.36,76.9749196715
1.38,77.8348166484
1.4,76.7599454273
1.42,78.2647651369
1.44,76.9749196715
1.46,78.4797393811
1.48,76.9749196715
1.5,77.6198424042
1.52,77.1898939157
1.54,77.40486816
1.56,78.2647651369
1.58,77.8348166484
1.6,78.0497908927
1.62,77.40486816
1.64,77.8348166484
1.66,76.9749196715
1.68,78.4797393811
1.7,76.9749196715
1.72,78.4797393811
1.74,77.6198424042
1.76,78.0497908927
1.78,77.1898939157
1.8,77.40486816
1.82,76.9749196715
1.84,76.9749196715
1.86,77.8348166484
1.88,76.9749196715
1.9,77.8348166484
1.92,77.1898939157
1.94,78.0497908927
1.96,76.9749196715
1.98,78.0497908927
2,77.40486816
2.02,77.40486816
2.04,77.8348166484
2.06,77.6198424042
2.08,77.1898939157
2.1,78.0497908927
2.12,76.9749196715
2.14,77.8348166484
2.16,78.0497908927
2.18,77.40486816
2.2,77.8348166484
2.22,77.40486816
2.24,77.40486816
2.26,76.9749196715
2.28,77.8348166484
2.3,77.40486816
2.32,77.1898939157
2.34,77.8348166484
2.36,77.1898939157
2.38,76.7599454273
2.4,77.40486816
2.42,76.9749196715
2.44,78.0497908927
2.46,78.0497908927
2.48,78.0497908927
2.5,77.6198424042
2.52,77.1898939157
2.54,77.6198424042
2.56,78.0497908927
2.58,78.2647651369
2.6,77.6198424042
2.62,78.0497908927
2.64,77.40486816
2.66,77.8348166484
2.68,77.1898939157
2.7,78.0497908927
2.72,77.1898939157
2.74,77.6198424042
2.76,77.6198424042
2.78,76.9749196715
2.8,77.8348166484
2.82,76.9749196715
2.84,78.0497908927
2.86,76.9749196715
2.88,77.40486816
2.9,77.40486816
2.92,77.6198424042
2.94,77.6198424042
2.96,77.8348166484
2.98,77.1898939157
3,77.6198424042
3.02,77.6198424042
3.04,76.7599454273
3.06,76.1150226946
3.08,76.9749196715
3.1,77.1898939157
3.12,76.1150226946
3.14,76.1150226946
3.16,75.9000484504
3.18,75.9000484504
3.2,75.9000484504
3.22,76.3299969388
3.24,75.4700999619
3.26,75.6850742061
3.28,75.2551257177
3.3,75.4700999619
3.32,74.3952287408
3.34,75.0401514734
3.36,74.610202985
3.38,74.3952287408
3.4,74.610202985
3.42,74.3952287408
3.44,73.5353317638
3.46,73.7503060081
3.48,73.9652802523
3.5,73.1053832754
3.52,72.8904090311
3.54,71.6005635658
3.56,72.0305120542
3.58,71.6005635658
3.6,72.0305120542
3.62,70.9556408331
3.64,70.7406665889
3.66,69.4508211235
3.68,70.5256923446
3.7,69.2358468792
3.72,70.3107181004
3.74,68.5909241466
3.76,68.5909241466
3.78,68.1609756581
3.8,68.5909241466
3.82,68.1609756581
3.84,68.3759499023
3.86,68.1609756581
3.88,67.7310271696
3.9,67.5160529254
3.92,66.6561559485
3.94,67.5160529254
3.96,67.3010786812
3.98,66.8711301927
4,66.22620746
4.02,66.6561559485
4.04,66.0112332158
4.06,66.4411817043
4.08,65.1513362389
4.1,65.3663104831
4.12,65.7962589716
4.14,64.7213877504
4.16,63.8614907735
4.18,64.291439262
4.2,63.4315422851
4.22,62.7866195524
4.24,60.6368771101
4.26,59.7769801332
4.28,57.4122634466
4.3,56.1224179812
4.32,53.5427270505
4.34,52.6828300736
4.36,51.178010364
4.38,48.5983194332
4.4,47.7384224563
4.42,46.6635512352
4.44,45.588680014
4.46,43.2239633275
4.48,43.0089890833
4.5,40.2143239083
4.52,40.2143239083
4.54,38.7095041987
4.56,38.7095041987
4.58,36.9897102448
4.6,36.1298132679
4.62,34.6249935583
4.64,34.6249935583
4.66,34.1950450698
4.68,33.3351480929
4.7,31.8303283833
4.72,31.6153541391
4.74,30.9704314064
4.76,30.3255086737
4.78,29.8955601853
4.8,29.8955601853
4.82,29.0356632083
4.84,28.8206889641
4.86,28.1757662314
4.88,27.9607919872
4.9,27.3158692545
4.92,27.745817743
4.94,26.2409980334
4.96,26.4559722776
4.98,25.8110495449
5,25.1661268122
5.02,25.5960753007
5.04,24.7361783237
5.06,24.7361783237
5.08,23.8762813468
5.1,23.6613071026
5.12,23.6613071026
5.14,23.8762813468
5.16,23.2313586141
5.18,22.8014101257
5.2,23.4463328584
5.22,21.9415131488
5.24,23.0163843699
5.26,21.9415131488
5.28,21.9415131488
5.3,21.9415131488
5.32,21.7265389045
5.34,21.2965904161
5.36,20.6516676834
5.38,21.0816161718
5.4,20.4366934392
5.42,20.4366934392
5.44,20.0067449507
5.46,20.4366934392
5.48,20.0067449507
5.5,19.361822218
5.52,19.5767964622
5.54,18.9318737296
5.56,18.7168994853
5.58,19.1468479738
5.6,17.6420282642
5.62,18.2869509969
5.64,17.8570025084
5.66,17.8570025084
5.68,17.2120797757
5.7,16.9971055315
5.72,17.4270540199
5.74,16.7821312873
5.76,16.1372085546
5.78,16.9971055315
5.8,16.1372085546
5.82,16.567157043
5.84,16.1372085546
5.86,15.9222343103
5.88,15.7072600661
5.9,15.2773115777
5.92,15.9222343103
5.94,15.0623373334
5.96,16.1372085546
5.98,15.2773115777
6,15.4922858219
6.02,15.0623373334
6.04,15.0623373334
6.06,14.4174146007
6.08,14.2024403565
6.1,14.2024403565
6.12,13.9874661123
6.14,13.9874661123
6.16,14.8473630892
6.18,14.2024403565
6.2,14.4174146007
6.22,13.5575176238
6.24,14.4174146007
6.26,13.5575176238
6.28,13.5575176238
6.3,12.6976206469
6.32,12.9125948911
6.34,12.6976206469
6.36,12.4826464027
6.38,13.3425433796
6.4,12.9125948911
6.42,13.1275691354
6.44,12.6976206469
6.46,12.9125948911
6.48,12.0526979142
6.5,12.6976206469
6.52,12.0526979142
6.54,12.0526979142
6.56,12.0526979142
6.58,12.2676721584
6.6,11.6227494258
6.62,12.0526979142
6.64,11.83772367
6.66,11.83772367
6.68,10.9778266931
6.7,10.9778266931
6.72,12.0526979142
6.74,11.1928009373
6.76,12.2676721584
6.78,10.9778266931
6.8,11.4077751815
6.82,11.6227494258
6.84,11.4077751815
6.86,10.7628524488
6.88,10.9778266931
6.9,10.7628524488
6.92,10.5478782046
6.94,10.7628524488
6.96,10.7628524488
6.98,9.90295547192
7,10.5478782046
7.02,10.1179297161
7.04,9.68798122769
7.06,10.1179297161
7.08,9.68798122769
7.1,9.68798122769
7.12,9.25803273923
7.14,10.5478782046
7.16,9.25803273923
7.18,10.3329039604
7.2,9.47300698346
7.22,9.68798122769
7.24,9.25803273923
7.26,9.043058495
7.28,9.25803273923
7.3,9.68798122769
7.32,8.61311000654
7.34,9.90295547192
7.36,8.61311000654
7.38,9.25803273923
7.4,8.39813576231
7.42,8.39813576231
7.44,8.39813576231
7.46,8.61311000654
7.48,9.25803273923
7.5,8.39813576231
7.52,8.61311000654
7.54,8.82808425077
7.56,9.47300698346
7.58,8.39813576231
7.6,9.043058495
7.62,7.96818727385
7.64,9.25803273923
7.66,7.96818727385
7.68,8.18316151808
7.7,8.18316151808
7.72,8.61311000654
7.74,8.61311000654
7.76,7.96818727385
