"Latest: Time (s)","Latest: Potential (V)"
0,0.00139970855811
0.002,0.00641935304234
0.004,0.00139970855811
0.006,-0.00111011368401
0.008,0.00139970855811
0.01,-0.00111011368401
0.012,-0.00111011368401
0.014,-0.00612975816825
0.016,-0.00612975816825
0.018,-0.00111011368401
0.02,0.00139970855811
0.022,0.00139970855811
0.024,-0.00111011368401
0.026,-0.00612975816825
0.028,-0.00612975816825
0.03,-0.00361993592613
0.032,-0.00612975816825
0.034,-0.00361993592613
0.036,-0.00361993592613
0.038,-0.00111011368401
0.04,0.00139970855811
0.042,0.00139970855811
0.044,-0.00111011368401
0.046,-0.00111011368401
0.048,0.00139970855811
0.05,-0.00111011368401
0.052,-0.00111011368401
0.054,0.00139970855811
0.056,0.00390953080022
0.058,0.00641935304234
0.06,-0.00111011368401
0.062,0.00139970855811
0.064,0.00390953080022
0.066,0.00390953080022
0.068,-0.00111011368401
0.07,0.00139970855811
0.072,0.00139970855811
0.074,0.00139970855811
0.076,0.00139970855811
0.078,-0.00111011368401
0.08,0.00390953080022
0.082,0.00641935304234
0.084,0.00641935304234
0.086,0.00641935304234
0.088,0.00641935304234
0.09,0.00641935304234
0.092,0.00641935304234
0.094,0.00641935304234
0.096,0.00641935304234
0.098,0.00641935304234
0.1,0.00641935304234
0.102,0.00641935304234
0.104,0.00641935304234
0.106,0.00641935304234
0.108,0.00641935304234
0.11,0.00641935304234
0.112,0.00641935304234
0.114,0.00641935304234
0.116,0.00641935304234
0.118,-0.00111011368401
0.12,0.00641935304234
0.122,0.00641935304234
0.124,0.00390953080022
0.126,0.00641935304234
0.128,0.00641935304234
0.13,0.00641935304234
0.132,0.00641935304234
0.134,0.00641935304234
0.136,0.00641935304234
0.138,0.00641935304234
0.14,0.00641935304234
0.142,0.00641935304234
0.144,0.00641935304234
0.146,0.00641935304234
0.148,0.00641935304234
0.15,-0.00111011368401
0.152,0.00139970855811
0.154,-0.00111011368401
0.156,0.00139970855811
0.158,-0.00361993592613
0.16,0.00139970855811
0.162,-0.00111011368401
0.164,-0.00111011368401
0.166,0.00139970855811
0.168,-0.00111011368401
0.17,0.00139970855811
0.172,-0.00111011368401
0.174,-0.00612975816825
0.176,-0.00612975816825
0.178,-0.00111011368401
0.18,-0.00111011368401
0.182,-0.00111011368401
0.184,-0.00111011368401
0.186,-0.00111011368401
0.188,-0.00612975816825
0.19,-0.00612975816825
0.192,-0.00612975816825
0.194,-0.00612975816825
0.196,-0.00612975816825
0.198,-0.00612975816825
0.2,-0.00612975816825
0.202,-0.00361993592613
0.204,-0.00612975816825
0.206,0.00139970855811
0.208,-0.00111011368401
0.21,-0.00111011368401
0.212,-0.00111011368401
0.214,0.00641935304234
0.216,0.00641935304234
0.218,0.00641935304234
0.22,-0.00111011368401
0.222,-0.00111011368401
0.224,-0.00361993592613
0.226,-0.00612975816825
0.228,0.00139970855811
0.23,-0.00111011368401
0.232,-0.00111011368401
0.234,0.00641935304234
0.236,0.00641935304234
0.238,0.00641935304234
0.24,-0.00111011368401
0.242,-0.00111011368401
0.244,0.00139970855811
0.246,-0.00612975816825
0.248,-0.00612975816825
0.25,-0.00612975816825
0.252,0.00139970855811
0.254,-0.00111011368401
0.256,-0.00111011368401
0.258,0.00641935304234
0.26,0.00641935304234
0.262,0.00641935304234
0.264,0.00641935304234
0.266,-0.00361993592613
0.268,-0.00111011368401
0.27,-0.00111011368401
0.272,-0.00111011368401
0.274,-0.00111011368401
0.276,0.00139970855811
0.278,-0.00111011368401
0.28,-0.00612975816825
0.282,-0.00612975816825
0.284,-0.00612975816825
0.286,-0.00612975816825
0.288,-0.00111011368401
0.29,-0.00111011368401
0.292,0.0541059756426
0.294,0.468226645592
0.296,1.21113402926
0.298,2.1849450592
0.3,3.27922755676
0.302,4.39609845451
0.304,5.4326550405
0.306,6.31109282524
0.308,6.97368589716
0.31,7.40035567832
0.312,7.583572702
0.314,7.52584679043
0.316,7.26984492173
0.318,6.84317514057
0.32,6.31862229197
0.322,5.74136317628
0.324,5.15908441611
0.326,4.63704138975
0.328,4.21539125307
0.33,3.90919293954
0.332,3.73099556035
0.334,3.68581875999
0.336,3.76111342725
0.338,3.9368009842
0.34,4.18276356393
0.342,4.47139312177
0.344,4.76755214634
0.346,5.05618170418
0.348,5.30214428391
0.35,5.48285148534
0.352,5.59830330848
0.354,5.63846046436
0.356,5.61838188642
0.358,5.53555775243
0.36,5.41508628481
0.362,5.27202641701
0.364,5.11892726024
0.366,4.97084774795
0.368,4.84535663585
0.37,4.75500303513
0.372,4.69476730132
0.374,4.6696690789
0.376,4.68472801235
0.378,4.72990481271
0.38,4.79265036876
0.382,4.87045485827
0.384,4.94825934777
0.386,5.01853437055
0.388,5.07626028212
0.39,5.116417438
0.392,5.13900583817
0.394,5.14402548266
0.396,5.13147637145
0.398,5.10637814903
0.4,5.06622099315
0.402,5.02606383728
0.404,4.98590668141
0.406,4.95327899226
0.408,4.92567094759
0.41,4.9081021919
0.412,4.90559236966
0.414,4.91061201414
0.416,4.92065130311
0.418,4.93571023656
0.42,4.9557888145
0.422,4.97335757019
0.424,4.99594597037
0.426,5.01100490383
0.428,5.02104419279
0.43,5.03359330401
0.432,5.03610312625
0.434,5.03359330401
0.436,5.02606383728
0.438,5.01351472607
0.44,4.99845579262
0.442,4.99343614813
0.444,4.98339685916
0.446,4.97837721468
0.448,4.97335757019
0.45,4.97084774795
0.452,4.97335757019
0.454,4.96833792571
0.456,4.97335757019
0.458,4.97586739244
0.46,4.98339685916
0.462,4.98339685916
0.464,4.99092632589
0.466,4.99845579262
0.468,5.00096561486
0.47,4.99845579262
0.472,4.99594597037
0.474,4.99343614813
0.476,4.98841650365
0.478,4.99594597037
0.48,4.99343614813
0.482,4.99092632589
0.484,4.99092632589
0.486,4.99343614813
0.488,4.99092632589
0.49,4.98841650365
0.492,4.98841650365
0.494,4.99343614813
0.496,4.99343614813
0.498,4.99594597037
0.5,4.99845579262
0.502,4.99845579262
0.504,4.99845579262
0.506,4.99594597037
0.508,4.99343614813
0.51,4.99343614813
0.512,4.99594597037
0.514,4.99594597037
0.516,4.99594597037
0.518,4.99594597037
0.52,4.99343614813
0.522,4.99594597037
0.524,4.99343614813
0.526,4.99343614813
0.528,4.98590668141
0.53,4.98841650365
0.532,4.99092632589
0.534,4.99092632589
0.536,4.98590668141
0.538,4.98339685916
0.54,4.98088703692
0.542,4.98339685916
0.544,4.98841650365
0.546,4.98841650365
0.548,4.99092632589
0.55,4.99343614813
0.552,4.99594597037
0.554,4.99594597037
0.556,4.98841650365
0.558,4.98590668141
0.56,4.98841650365
0.562,4.98841650365
0.564,4.99594597037
0.566,4.99594597037
0.568,4.99594597037
0.57,4.99594597037
0.572,4.99594597037
0.574,4.98590668141
0.576,4.98590668141
